alpha,conflict,beta,error,addrcity,addrpostcode,addrstreet,building,buildinglevels,image,loc_name,mapillary,name,namede,nameen,namees,namefr,namenl,namepcd,namezh,refUrbIS,rooflevels,tourism,wheelchair,wikidata,wikipedia,addrcityfr,addrcitynl,addrhousenumber,addrstreetfr,addrstreetnl,nameetymologywikidata,sourcegeometryref,sourcegeometryversion,contactwebsite,opening_hours,operator,sensortype,shop,surveillance,surveillanceoperator,surveillancetype,addrcountry,source,proposedname,construction,office,height,layer,location,min_height,level,roofmaterial,roofshape,brand,brandwikidata,brandwikipedia,contactfacebook,contactinstagram,fax,internet_access,internet_accessfee,phone,rooms,smoking,stars,start_date,website,air_conditioning,bar,reservation,amenity,contactphone,dispensing,healthcare,opening_hourssigned,description,contactlinkedin,outdoor_seating,brewery,craft,microbrewery,contactemail,note,cuisine,alt_name,toiletswheelchair,dietvegan,dietvegetarian,toilets,toiletsaccess,toiletsdescription,toiletsfee,old_name,sport,gay,alt_namees,denomination,religion,wikipedianl,operatorwikidata,internet_accessssid,operatortype,shelter_type,takeaway,area,bicycle,highway,lit,namear,nameit,nameja,namela,namelanguage,nameli,nameml,namevls,place,surface,wheelchairdescription,alt_nameen,barrier,heritagewebsite,historic,man_made,towertype,email,contactfax,short_name,crossing,crossingisland,tactile_paving,crossing_ref,button_operated,traffic_signalssound,direction,traffic_signals,traffic_signalsdirection,maxspeed,oneway,onewaybicycle,sourcemaxspeed,short_namefr,short_namenl,cyclewayright,lanes,lanespsv,parkingconditionright,parkinglaneleft,parkinglaneright,busway,sidewalk,cyclewayleft,onewaypsv,lane_markings,footwaysurface,cycleway,access,tunnel,service,foot,indoor,covered,conveying,footway,noname,bus,public_transport,emergency,horse,motor_vehicle,taxi,vehicle,route_ref
building,building,apartments,no,,,,apartments,6.0,,,,,,,,,,,,8185039.0,,,,,,,,,,,,Urbis/8185039,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,5.0,,,,,,,,,,,,8186891.0,,,,,,,,,,,,Urbis/8186891,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,,,,,,,,,,,,,8182891.0,,,,,,,,,,,,Urbis/8182891,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,Bruxelles - Brussel,1000.0,Rue des Fripiers - Kleerkopersstraat,apartments,4.0,,,,,,,,,,,,8183857.0,,,,,,Bruxelles,Brussel,3,Rue des Fripiers,Kleerkopersstraat,,,,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,Bruxelles - Brussel,1000.0,Rue Paul Devaux - Paul Devauxstraat,apartments,4.0,,,,,,,,,,,,8184949.0,0.0,,,,,Bruxelles,Brussel,11,Rue Paul Devaux,Paul Devauxstraat,,,,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,5.0,,,,,,,,,,,,,,,,,,,,,,,,Urbis/8182479,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,Rue du Vieux March̩ aux Grains - Oude Graanmarktstraat,retail,3.0,,,,,,,,,,,,8318649.0,1.0,,,,,,,6,,,,Urbis/8318649,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,retail,,,,,,,,,,,,,8183195.0,,,,,,,,,,,,Urbis/8183195,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,retail,5.0,,,,,,,,,,,,6044436.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
